#
# A Night in the Lonesome October resolution
#
# Algorithm: Angles
# Points: 42 (24 disabled)
# Center: 37.906175 -100.386760 (56.081989)
#
37.893192 -100.377975
37.895954 -100.383311
37.898064 -100.380952
37.898165 -100.383211
37.900392 -100.375177
37.900798 -100.382355
37.901699 -100.379790
37.902192 -100.377800
37.902369 -100.386119
37.902379 -100.384274
37.902540 -100.379590
37.903206 -100.381358
37.903585 -100.379604
37.903937 -100.383275
37.905169 -100.383053
37.905543 -100.381784
37.906266 -100.387086
37.906789 -100.384306
37.891815 -100.376536 D
37.892639 -100.373826 D
37.894389 -100.384312 D
37.894770 -100.376421 D
37.895185 -100.377710 D
37.896097 -100.378874 D
37.896694 -100.381274 D
37.896804 -100.374109 D
37.897793 -100.375378 D
37.898124 -100.384467 D
37.898151 -100.378487 D
37.898315 -100.374490 D
37.898644 -100.375934 D
37.898819 -100.380107 D
37.899328 -100.382563 D
37.900048 -100.378043 D
37.900118 -100.380393 D
37.900927 -100.376656 D
37.902501 -100.381059 D
37.902840 -100.383329 D
37.904391 -100.383551 D
37.905640 -100.383358 D
37.906283 -100.385276 D
37.906803 -100.383162 D
